side,side,eta,phi,sector,TwinMux,TwinMux_link,TwinMux_bit,ring,BLANK
-1,-1,2,14,3,YB0_S3,6,13,0,BLANK
1,1,2,14,3,YB0_S3,6,11,0,BLANK
-1,-1,3,14,3,YB0_S3,7,43,0,BLANK
1,1,3,14,3,YB0_S3,6,10,0,BLANK
-1,-1,4,14,3,YB0_S3,7,41,0,BLANK
1,1,4,14,3,YB0_S3,7,32,0,BLANK
-1,-1,5,14,3,YB-1_S3,6,8,-1,BLANK
1,1,5,14,3,YB+1_S3,6,8,1,BLANK
-1,-1,6,14,3,YB-1_S3,6,5,-1,BLANK
1,1,6,14,3,YB+1_S3,6,5,1,BLANK
-1,-1,7,14,3,YB-1_S3,6,2,-1,BLANK
1,1,7,14,3,YB+1_S3,6,2,1,BLANK
-1,-1,8,14,3,YB-1_S3,7,37,-1,BLANK
1,1,8,14,3,YB+1_S3,7,37,1,BLANK
-1,-1,9,14,3,YB-1_S3,7,34,-1,BLANK
1,1,9,14,3,YB+1_S3,7,34,1,BLANK
-1,-1,10,14,3,YB-1_S3,7,31,-1,BLANK
1,1,10,14,3,YB+1_S3,7,31,1,BLANK
-1,-1,11,14,3,YB-2_S3,6,14,-2,BLANK
1,1,11,14,3,YB+2_S3,6,14,2,BLANK
-1,-1,12,14,3,YB-2_S3,6,11,-2,BLANK
1,1,12,14,3,YB+2_S3,6,11,2,BLANK
-1,-1,13,14,3,YB-2_S3,6,8,-2,BLANK
1,1,13,14,3,YB+2_S3,6,8,2,BLANK
-1,-1,14,14,3,YB-2_S3,6,5,-2,BLANK
1,1,14,14,3,YB+2_S3,6,5,2,BLANK
-1,-1,15,14,3,YB-2_S3,6,2,-2,BLANK
1,1,15,14,3,YB+2_S3,6,2,2,BLANK
-1,-1,1,15,3,YB0_S3,7,39,0,BLANK
1,1,1,15,3,YB0_S3,6,6,0,BLANK
-1,-1,2,15,3,YB0_S3,6,7,0,BLANK
1,1,2,15,3,YB0_S3,6,1,0,BLANK
-1,-1,3,15,3,YB0_S3,7,40,0,BLANK
1,1,3,15,3,YB0_S3,6,0,0,BLANK
-1,-1,4,15,3,YB0_S3,7,38,0,BLANK
1,1,4,15,3,YB0_S3,7,29,0,BLANK
-1,-1,5,15,3,YB-1_S3,6,7,-1,BLANK
1,1,5,15,3,YB+1_S3,6,7,1,BLANK
